最低传输速率 , 30.2 MB/秒
最大传输速率 , 38.1 MB/秒
平均传输速率 , 37.1 MB/秒
访问时间           , 0.542 ms
突发速率            , 30.8 MB/秒
CPU 使用率             , 55.8%
