最低传输速率 , 31.7 MB/秒
最大传输速率 , 38.1 MB/秒
平均传输速率 , 37.2 MB/秒
访问时间           , 0.547 ms
突发速率            , 30.6 MB/秒
CPU 使用率             , 56.5%
