最低传输速率 , 35.5 MB/秒
最大传输速率 , 37.9 MB/秒
平均传输速率 , 37.4 MB/秒
访问时间           , 0.429 ms
突发速率            , 29.7 MB/秒
CPU 使用率             , 55.6%
