最低传输速率 , 20.9 MB/秒
最大传输速率 , 38.1 MB/秒
平均传输速率 , 37.1 MB/秒
访问时间           , 0.537 ms
突发速率            , 32.6 MB/秒
CPU 使用率             , 55.5%
